ids,label
25672,0.0
59964,1.0
66230,2.0
50801,2.0
83307,3.0
91787,6.0
58429,8.0
99131,6.0
80125,5.0
25082,0.0
37535,3.0
28128,6.0
52636,4.0
63925,6.0
43271,8.0
38036,5.0
54620,6.0
61416,3.0
74550,6.0
40888,2.0
49889,4.0
58702,4.0
38675,2.0
89732,1.0
65266,5.0
69186,9.0
67426,8.0
34744,6.0
21450,4.0
49381,1.0
62348,9.0
76542,7.0
63348,9.0
22624,8.0
81445,1.0
32572,0.0
40068,9.0
30250,8.0
70825,0.0
84690,3.0
20991,2.0
56127,0.0
86208,6.0
57617,2.0
81944,2.0
65695,0.0
74511,3.0
35715,3.0
24710,2.0
74948,3.0
42558,2.0
23142,4.0
61813,9.0
73095,3.0
60517,0.0
83239,9.0
27989,9.0
88497,4.0
80064,2.0
59218,3.0
70938,4.0
79502,5.0
67337,6.0
66989,6.0
42838,1.0
45432,1.0
99950,0.0
73503,9.0
74623,5.0
86195,2.0
85871,7.0
89572,3.0
47700,4.0
69955,6.0
73068,5.0
68676,7.0
97211,1.0
51436,6.0
76766,1.0
56592,3.0
54091,9.0
89080,6.0
91436,1.0
31162,6.0
37787,4.0
59003,8.0
58444,9.0
94671,4.0
96090,1.0
48650,6.0
86683,3.0
28923,6.0
80490,6.0
33243,6.0
33376,6.0
70098,3.0
32859,4.0
27828,7.0
86696,7.0
22348,3.0
97292,9.0
92242,3.0
85423,9.0
66808,6.0
20148,8.0
69852,2.0
49188,3.0
46819,2.0
90676,2.0
64255,7.0
74085,5.0
84262,7.0
23433,4.0
64682,4.0
89730,7.0
39257,5.0
85277,0.0
68597,6.0
58172,7.0
74344,3.0
76740,0.0
29923,7.0
55642,6.0
60197,4.0
56643,7.0
59965,0.0
75819,7.0
33792,5.0
81470,0.0
27589,3.0
35044,1.0
37402,7.0
83100,9.0
47056,4.0
76274,9.0
26512,6.0
26450,4.0
39209,4.0
29741,0.0
65201,4.0
22912,3.0
41997,3.0
34632,3.0
61348,2.0
89061,2.0
37590,6.0
30417,3.0
45608,0.0
74383,1.0
47710,3.0
46217,4.0
91770,3.0
40691,3.0
94476,1.0
63619,9.0
99108,3.0
66297,3.0
71727,3.0
40577,9.0
71901,5.0
95169,6.0
44394,7.0
25746,7.0
93828,3.0
74267,6.0
48600,4.0
91562,0.0
83633,2.0
67564,7.0
60624,2.0
48978,2.0
75916,8.0
85258,9.0
33766,0.0
50738,6.0
96565,4.0
77683,6.0
81255,8.0
33909,7.0
72087,9.0
49847,7.0
72195,1.0
34951,3.0
56816,9.0
92917,1.0
44144,7.0
92202,5.0
56928,6.0
77278,0.0
52873,7.0
97815,4.0
82582,7.0
59413,1.0
97766,6.0
22386,0.0
88803,0.0
70052,2.0
98954,6.0
62022,2.0
24449,9.0
56317,0.0
61404,4.0
99335,2.0
20777,5.0
49296,5.0
20359,8.0
73365,0.0
90562,2.0
40716,1.0
71675,9.0
24079,2.0
60298,6.0
31696,7.0
59911,1.0
46582,9.0
46921,5.0
20251,9.0
87438,2.0
76095,2.0
86303,8.0
96664,5.0
28798,9.0
89429,9.0
31839,3.0
70617,2.0
49610,4.0
30649,5.0
64040,9.0
95619,8.0
75825,1.0
47064,9.0
46999,7.0
24589,6.0
44732,2.0
88541,9.0
83324,7.0
53928,4.0
77796,0.0
99104,9.0
97018,2.0
82248,1.0
88226,5.0
48869,7.0
76927,7.0
45159,0.0
91759,2.0
71513,4.0
66191,5.0
50559,1.0
68048,3.0
74681,8.0
30017,1.0
38673,0.0
96452,4.0
91120,4.0
83873,8.0
46670,4.0
78507,9.0
71559,8.0
28784,3.0
97934,3.0
35167,6.0
48838,4.0
88169,4.0
21903,4.0
30589,9.0
95787,3.0
75457,9.0
72111,2.0
45755,8.0
38033,6.0
84856,8.0
87745,8.0
74868,2.0
70347,7.0
82401,2.0
45308,5.0
47781,5.0
66078,9.0
50288,7.0
59515,8.0
33803,2.0
63131,4.0
31079,8.0
76564,4.0
72865,8.0
60762,3.0
68791,1.0
92148,2.0
98086,2.0
91618,2.0
63573,1.0
27453,8.0
22678,1.0
82714,3.0
21250,0.0
91280,3.0
44910,1.0
86242,7.0
93901,0.0
69719,7.0
40822,2.0
32675,0.0
48395,9.0
56776,6.0
95780,2.0
38644,7.0
66518,4.0
29860,7.0
42318,7.0
79663,1.0
85923,0.0
90284,6.0
45247,0.0
27963,7.0
89840,8.0
98354,9.0
63085,0.0
50826,9.0
24964,2.0
50101,0.0
40355,2.0
98872,7.0
74187,0.0
30122,8.0
75839,5.0
87166,8.0
26477,7.0
98785,7.0
77917,6.0
33449,1.0
91186,2.0
47921,9.0
39876,7.0
54822,6.0
87112,0.0
64092,1.0
44277,6.0
31165,3.0
50726,8.0
44309,6.0
81532,5.0
89761,7.0
77931,0.0
41887,9.0
94989,2.0
81896,9.0
68869,8.0
62133,0.0
98621,6.0
51942,9.0
57647,6.0
23983,4.0
51138,3.0
31347,0.0
48249,6.0
57141,0.0
97797,8.0
49691,5.0
52743,9.0
24898,5.0
60405,2.0
31012,6.0
71020,0.0
79523,7.0
70112,1.0
41221,2.0
89378,7.0
27071,5.0
36082,9.0
22137,8.0
72112,2.0
87231,0.0
44400,6.0
27875,2.0
30842,6.0
93011,0.0
99885,7.0
34072,2.0
76584,9.0
88003,8.0
62622,3.0
70416,9.0
20259,7.0
71811,5.0
30693,1.0
32086,4.0
85637,4.0
42222,9.0
43296,5.0
45796,5.0
20819,3.0
74801,3.0
85034,4.0
73290,7.0
73663,4.0
87389,2.0
44762,6.0
60114,0.0
87508,5.0
94632,0.0
25614,6.0
30006,0.0
41109,2.0
71693,3.0
26671,5.0
33169,7.0
91828,0.0
81991,5.0
34413,0.0
62440,9.0
42315,0.0
42384,9.0
39116,6.0
36905,7.0
83885,7.0
68097,5.0
46742,6.0
30567,4.0
56077,4.0
50892,0.0
56053,4.0
71154,0.0
82266,9.0
20818,8.0
41183,4.0
52072,1.0
34381,0.0
78494,0.0
54901,6.0
45232,4.0
57402,9.0
55586,4.0
81424,3.0
76223,1.0
78610,2.0
83211,5.0
60452,8.0
60955,3.0
84731,8.0
52995,2.0
24619,7.0
42687,1.0
95432,2.0
23331,0.0
78792,7.0
86145,8.0
24437,7.0
27600,6.0
47085,5.0
51984,1.0
55408,6.0
87267,3.0
72084,0.0
43730,5.0
46918,8.0
72314,4.0
65649,9.0
39345,9.0
64076,7.0
96929,5.0
81553,8.0
56630,4.0
48433,0.0
81774,3.0
90075,2.0
94710,7.0
96419,1.0
50803,5.0
85363,2.0
36771,7.0
34679,5.0
31758,9.0
66173,0.0
33279,0.0
98987,7.0
92064,0.0
60926,6.0
92511,7.0
76284,6.0
61529,8.0
85174,6.0
25805,3.0
81943,7.0
95964,3.0
41026,1.0
64690,4.0
98288,9.0
27389,7.0
93277,0.0
61948,8.0
52495,2.0
35830,4.0
93320,8.0
54611,8.0
52536,1.0
44650,7.0
71545,1.0
38159,9.0
48413,3.0
95014,8.0
53454,1.0
73657,2.0
73629,2.0
81994,9.0
67809,3.0
50501,8.0
24544,6.0
24740,6.0
34623,4.0
92470,2.0
39690,5.0
53169,7.0
95826,3.0
45778,2.0
72393,0.0
78934,0.0
69816,2.0
99252,9.0
28163,4.0
38569,5.0
79072,6.0
83518,3.0
42769,8.0
74483,2.0
48274,2.0
44101,5.0
66939,5.0
35632,4.0
59553,7.0
81645,1.0
51157,9.0
65962,7.0
25078,9.0
87709,7.0
76321,2.0
76212,2.0
46163,4.0
80762,2.0
30919,1.0
38993,6.0
58732,6.0
74700,6.0
20237,3.0
89145,2.0
70764,7.0
97937,3.0
66122,5.0
86788,9.0
88346,7.0
48140,7.0
62393,1.0
85905,7.0
71372,2.0
34370,2.0
30736,8.0
65468,4.0
48671,2.0
73566,4.0
63202,8.0
59961,8.0
31743,3.0
62568,7.0
42941,3.0
73518,2.0
46070,7.0
44728,6.0
45378,4.0
21270,2.0
47300,6.0
82095,6.0
61087,7.0
81178,9.0
26218,4.0
21037,5.0
33043,8.0
60921,5.0
99533,3.0
49600,1.0
40971,1.0
58569,2.0
28941,7.0
55648,6.0
52912,4.0
70758,5.0
61775,0.0
88854,4.0
82750,2.0
60648,3.0
74827,4.0
43562,3.0
60300,2.0
33046,0.0
46755,6.0
66552,7.0
93567,2.0
51467,9.0
66094,7.0
41867,3.0
46414,1.0
83696,1.0
40554,3.0
37773,7.0
73298,5.0
